,No.,Course Code,Title,Credit,Pre-requisite,Available in 2022-2023,Available in 2023-2024,Semester offered in 2022-2023,Exam held in 2022-2023,Quota,Course Coordinator,Disciplinary Core Course,Disciplinary Elective,Capstone - Disciplinary Core Course,Capstone - Disciplinary Elective,Teachers
191,192,MATH3901,Operations research I,6,Pass in MATH2014 or MATH2101 or MATH2102,Y,Y,1,Dec,---,"Dr Z Qu, Mathematics","Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)","Bachelor of Arts and Sciences in Applied Artificial Intelligence (2022,2021,2020,2019)
Major in Decision Analytics (2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Z Qu,Mathematics)"
192,193,MATH3904,Introduction to optimization,6,Pass in (MATH2101 and MATH2211) or MATH2014 or (MATH1821 and MATH2822),Y,Y,1,Dec,---,"Prof W Zang, Mathematics","Bachelor of Arts and Sciences in Applied Artificial Intelligence (2022,2021,2020,2019)
Major in Decision Analytics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Computational & Financial Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof W Zang,Mathematics)"
193,194,MATH3906,Financial calculus,6,"Pass in  MATH2211 or MATH2014 or MATH2822.
Students are strongly recommended to have passed or already enrolled in MATH3603 or STAT2601.",Y,Y,2,May,---,"Dr G Li, Mathematics","Minor in Computational & Financial Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)","Bachelor of Arts and Sciences in Applied Artificial Intelligence (2022,2021,2020,2019)
Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr G Li,Mathematics)"
194,195,MATH3911,Game theory and strategy,6,Pass in (MATH2101 and MATH2211) or (MATH1821 and MATH2822),Y,Y,2,May,---,"Prof T W Ng, Mathematics",,"Bachelor of Arts and Sciences in Applied Artificial Intelligence (2022,2021,2020,2019)
Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Computational & Financial Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof T W Ng,Mathematics)"
195,196,MATH3943,Network models in operations research,6,Pass in (MATH2101 and MATH2211) or MATH2014.,Y,N,1,Dec,---,"Dr. K H Law, Mathematics",,"Bachelor of Arts and Sciences in Applied Artificial Intelligence (2022,2021,2020,2019)
Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr K H Law,Mathematics)"
196,197,MATH3999,Directed studies in mathematics,6,"This capstone course is for Mathematics / Mathematics (Intensive), and Mathematics/Physics Majors students only. The earliest that a student is allowed to take this capstone course is their year 3 study.
Pass in at least 24 credits of advanced level disciplinary core/elective mathematics courses (MATH3XXX, MATH4XXX or MATH7XXX) in the Mathematics/ Mathematics (Intensive), and Mathematics/Physics Majors; and subject to approval by the Department.",Y,Y,"1, 2",No exam,---,"Prof X Yuan, Mathematics",,,,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)","(All teaching staff,Mathematics)"
197,198,MATH4302,Algebra II,6,Pass in MATH2102 and MATH3301,Y,Y,2,May,---,"Dr Z Hua, Mathematics",,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Z Hua,Mathematics)"
198,199,MATH4402,Analysis II,6,Pass in MATH3401,Y,Y,2,May,---,"Dr Y M Chan, Mathematics",,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Y M Chan,Mathematics)"
199,200,MATH4404,Functional analysis,6,"Pass in MATH2101, MATH2102, MATH2211, MATH2241 and MATH3401",Y,Y,2,May,---,"Dr C Y Hui, Mathematics","Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr C Y Hui,Mathematics)"
200,201,MATH4406,Introduction to partial differential equations,6,"Pass in MATH2101, MATH2102, MATH2241; and
Pass in MATH3405, or already enrolled in this course.",Y,Y,1,Dec,---,"Dr T K Wong, Mathematics","Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr T K Wong,Mathematics)"
201,202,MATH4511,Introduction to differentiable manifolds,6,Pass in MATH3401 or MATH3541.  It would be helpful if students have also taken or are concurrently taking MATH4402.,Y,N,2,May,---,"Prof J H Lu, Mathematics",,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof J H Lu,Mathematics)"
202,203,MATH4602,Scientific computing,6,Pass in MATH3601,Y,Y,2,May,---,"Prof W K Ching, Mathematics",,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Computational & Financial Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof W K Ching,Mathematics)"
203,204,MATH4907,Numerical methods for financial calculus,6,Pass in MATH3906 or equivalent.,Y,Y,1,Dec,---,"Dr G Li, Mathematics",,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Computational & Financial Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr G Li,Mathematics)"
204,205,MATH4966,Mathematics internship,6,"This capstone course is for Mathematics / Mathematics (Intensive), and Mathematics/Physics Majors students only. The earliest that a student is allowed to take this capstone course is their year 3 study.
Pass in at least 24 credits of advanced level disciplinary core/elective mathematics courses (MATH3XXX, MATH4XXX, or MATH7XXX) in the Mathematics/ Mathematics (Intensive), and Mathematics/Physics Majors; and subject to approval by the Department.",Y,Y,"1, 2, S",No exam,---,"Dr T K Wong, Mathematics",,,,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)","(All teaching staff,Mathematics)"
205,206,MATH4999,Mathematics project,12,"This capstone course is for Mathematics / Mathematics (Intensive), and Mathematics/Physics Majors students only. The earliest that a student is allowed to take this capstone course is their year 3 study.
Pass in at least 24 credits of advanced level disciplinary core/elective mathematics courses (MATH3XXX, MATH4XXX, or MATH7XXX) in the Mathematics/ Mathematics (Intensive), and Mathematics/Physics Majors; and subject to approval by the Department.",Y,Y,0,No exam,---,"Prof X Yuan, Mathematics",,,,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)","(All teaching staff,Mathematics)"
206,207,MATH7101,Intermediate complex analysis,6,"Pass in a first course in Complex Analysis such as MATH3403, and approval by the course coordinator.",Y,Y,1,No exam,---,"Prof N Mok, Mathematics",,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof N Mok,Mathematics)"
207,208,MATH7501,Topics in algebra,6,Pass in MATH4302,Y,N,1,Dec,---,"Dr Z Hua, Mathematics",,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Z Hua,Mathematics)"
208,209,MATH7502,Topics in applied discrete mathematics,6,"Pass in (MATH3301 or MATH3600), and approval of the course coordinator.",Y,Y,2,May,---,"Prof W Zang, Mathematics",,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof W Zang,Mathematics)"
209,210,MATH7503,Topics in advanced optimization,6,"Pass in MATH3901, MATH3904 and approval of the course coordinator.",Y,Y,2,TBC,---,"Prof X Yuan, Mathematics",,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Operations Research & Mathematical Programming (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof X Yuan,Mathematics)"
210,211,MATH7505,Real analysis,6,A good grade in Math3401 and approval by the course coordinator.,Y,Y,2,TBC,---,"Prof W S Cheung, Mathematics",,"Major in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Mathematics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Mathematics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof W S Cheung,Mathematics)"
211,212,PHYS1055,How things work,6,NIL,Y,Y,2,May,---,"Dr M K Yip, Physics",,,,,"(Dr M K Yip,Physics)"
212,213,PHYS1056,"Weather, climate and climate change",6,NIL,Y,Y,1,Dec,---,"Dr F C C Ling, Physics",,,,,"(Dr F C C Ling,Physics)
(Dr P W Li,Hong Kong Observatory)
(Mr H W Tong,Hong Kong Observatory)
(Mr W K Wong,Hong Kong Observatory)"
213,214,PHYS1150,Problem solving in physics,6,"Level 3 or above in HKDSE Physics or equivalent, or Pass in PHYS1240",Y,Y,"1, 2","Dec, May",---,"Dr M K Yip, Physics","Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Physics (2022,2021,2020,2019,2018)",,,"(Dr M K Yip,Physics)"
214,215,PHYS1240,Physics by inquiry,6,"NIL
Not for students with level 3 or above in HKDSE Physics; and
Not for students who have passed in PHYS1050 or PHYS1150 or PHYS1250, or already enrolled in these courses; and
Not for students who have passed in any level 2 PHYS course or above.",Y,Y,2,May,---,"Dr F K Chow, Physics",,,,,"(Dr F K Chow,Physics)"
215,216,PHYS1250,Fundamental physics,6,"Level 3 or above in HKDSE Physics or equivalent, or Pass in PHYS1240; and
Not for students who have passed in PHYS1050, or already enrolled in this course; and
Not for students who have passed in any level 2 PHYS course or above.",Y,Y,"1, 2","Dec, May",---,"Dr J H C Lee, Physics","Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2017,2016,2015)
Minor in Astronomy (2017,2016,2015)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Astronomy (2022,2021,2020,2019,2018)",,,"(Dr J H C Lee,Physics)
(Dr K M Lee,Physics)"
216,217,PHYS1650,Nature of the universe,6,NIL,Y,Y,"1, 2","Dec, May",---,"Dr K M Lee, Physics","Major in Astronomy (2017,2016,2015)
Minor in Astronomy (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)",,,"(Dr K M Lee,Physics)"
217,218,PHYS2055,Introductory relativity,6,Pass in PHYS1050 or PHYS1150 or PHYS1250 or ENGG1300,Y,Y,2,May,---,"Dr K M Lee, Physics","Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Astronomy (2022,2021,2020,2019,2018)
Minor in Physics (2022,2021,2020,2019,2018)",,,"(Dr K M Lee,Physics)"
218,219,PHYS2150,Methods in physics I,6,Pass in MATH1013 or MATH1821 or MATH1851 or PHYS1150,Y,Y,1,Dec,---,"Dr F K Chow, Physics","Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Physics (2022,2021,2020,2019,2018)",,,"(Dr F K Chow,Physics)"
219,220,PHYS2155,Methods in physics II,6,Pass in MATH1013 or MATH1821 or MATH1851 or PHYS1150,Y,Y,2,May,---,"Dr Y J Tu, Physics","Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Physics (2022,2021,2020,2019,2018)",,,"(Dr Y J Tu,Physics)"
220,221,PHYS2160,Introductory computational physics,6,Pass in MATH1013 or MATH1821 or MATH1851 or PHYS1150,Y,Y,2,May,30,"Dr F K Chow, Physics",,"Major in Astronomy (2017)
Major in Mathematics/Physics (2017)
Major in Physics (2022,2021,2020,2019,2018,2017)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Astronomy (2022,2021,2020,2019)
Minor in Physics (2022,2021,2020,2019,2018)",,,"(Dr F K Chow,Physics)"
221,222,PHYS2250,Introductory mechanics,6,Pass in PHYS1050 or PHYS1150 or PHYS1250 or ENGG1300,Y,Y,"1, 2","Dec, May",---,"Dr M K Yip, Physics","Major in Astronomy (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Physics (2017,2016,2015)","Major in Mathematics/Physics (2017,2016,2015)
Minor in Physics (2022,2021,2020,2019,2018)",,,"(Dr M K Yip,Physics)
(Dr Y Yang,Physics)"
222,223,PHYS2255,Introductory electricity and magnetism,6,Pass in PHYS1050 or PHYS1150 or PHYS1250 or ENGG1310,Y,Y,2,May,---,"Dr J C S Pun, Physics","Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Minor in Physics (2022,2021,2020,2019,2018)",,,"(Dr J C S Pun,Physics)"
223,224,PHYS2261,Introductory heat and thermodynamics,6,Pass in PHYS1050 or PHYS1150 or PHYS1250 or ENGG1350,Y,Y,1,Dec,---,"Prof M H Xie, Physics","Major in Physics (2022,2021,2020,2019,2018)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Minor in Physics (2022,2021,2020,2019,2018)",,,"(Prof M H Xie,Physics)"
224,225,PHYS2265,Introductory quantum physics,6,Pass in PHYS1050 or PHYS1150 or PHYS1250 or ENGG1300,Y,Y,"1, 2","Dec, May",---,"Dr F K Chow, Physics","Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Astronomy (2017,2016,2015)
Minor in Physics (2017,2016,2015)","Minor in Physics (2022,2021,2020,2019,2018)",,,"(Dr F K Chow,Physics)
(Prof G Chen,Physics)"
225,226,PHYS2650,Modern astronomy,6,Pass in PHYS1650,Y,Y,2,May,---,"Dr J J L Lim, Physics","Minor in Astronomy (2022,2021,2020,2019,2018)","Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)",,,"(Dr J J L Lim,Physics)"
226,227,PHYS3150,Theoretical physics,6,Pass in MATH2211 or PHYS2150 or PHYS2155,Y,Y,1,Dec,---,"Dr C J Wang, Physics","Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr C J Wang,Physics)"
227,228,PHYS3151,Machine learning in physics,6,"Pass in MATH2014 or MATH2101 or MATH2211 or PHYS2155 or PHYS2160.
Working knowledge of Python is needed (please talk to the course instructor in case of doubt).",Y,Y,2,May,---,"Dr Z Y Meng, Physics",,"Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Z Y Meng,Physics)"
228,229,PHYS3350,Classical mechanics,6,Pass in PHYS2150 and PHYS2250,Y,Y,2,May,---,"Prof S Q Shen, Physics","Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Astronomy (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof S Q Shen,Physics)"
229,230,PHYS3351,Quantum mechanics,6,"Pass in PHYS2150 and PHYS2265, knowledge of PHYS2155 will be advantageous",Y,Y,1,Dec,---,"Dr F K Chow, Physics","Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Astronomy (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr F K Chow,Physics)"
230,231,PHYS3450,Electromagnetism,6,"Pass in PHYS2150 and PHYS2255, knowledge of PHYS2155 will be advantageous",Y,Y,2,May,---,"Prof X D Cui, Physics","Major in Physics (2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof X D Cui,Physics)"
231,232,PHYS3550,Statistical mechanics & thermodynamics,6,Pass in PHYS2150 and (PHYS2260 or PHYS2261),Y,Y,1,Dec,---,"Dr S Z Zhang, Physics","Major in Physics (2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr S Z Zhang,Physics)"
232,233,PHYS3650,Observational astronomy,6,Pass in PHYS2255 or PHYS2650,Y,Y,1,Dec,---,"Dr J J L Lim, Physics","Major in Astronomy (2017,2016,2015)
Minor in Astronomy (2022,2021,2020,2019,2018)","Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Astronomy (2017,2016,2015)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J J L Lim,Physics)"
233,234,PHYS3653,Astrophysics,6,Pass in PHYS2250 or PHYS2265 or PHYS2650,Y,Y,2,May,---,"Dr L X Dai, Physics",,"Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Astronomy (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr L X Dai,Physics)"
234,235,PHYS3660,Astronomy laboratory,6,"Pass in (PHYS2265 or PHYS2650); and Pass in PHYS3650, or already enrolled in this course.",Y,Y,1,No exam,9,"Dr S C Y Ng, Physics",,"Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Astronomy (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr S C Y Ng,Physics)"
235,236,PHYS3750,Foundations of laser and spectroscopy,6,Pass in PHYS2255 and PHYS2265,Y,Y,1,Dec,---,"Dr T T Luu, Physics",,"Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr T T Luu,Physics)"
236,237,PHYS3760,Physics laboratory,6,"Pass in any two of the following courses: PHYS3350, PHYS3351, PHYS3450, PHYS3550",Y,Y,2,No exam,16,"Dr T T Luu, Physics","Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr T T Luu,Physics)"
237,238,PHYS3850,Physical Optics,6,Pass in PHYS2250 and PHYS2255,Y,Y,2,May,---,"Dr D K Ki, Physics",,"Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr D K Ki,Physics)"
238,239,PHYS3999,Directed studies in physics,6,"Pass in at least 24 credits of advanced level (3XXX level or above) disciplinary core/elective courses of the Physics Major, Physics (Intensive) Major, Mathematics/Physics Major or Astronomy Major curriculum.
This capstone course is for Astronomy, Mathematics/Physics, Physics, and Physics (Intensive) Majors students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2, S",No exam,---,"Dr F C C Ling, Physics",,"Minor in Physics (2017,2016,2015)",,"Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)","(Various teachers in the department,Physics)"
239,240,PHYS4150,Computational physics,6,Pass in (MATH3301 or MATH3401 or MATH3403 or MATH3405 or PHYS2160 or PHYS3151) and (PHYS3350 or PHYS3351 or PHYS3450 or PHYS3550),Y,Y,1,Dec,24,"Dr Z Y Meng, Physics",,"Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Z Y Meng,Physics)"
240,241,PHYS4151,Data analysis and modeling in physics,6,"Pass in (MATH3301 or MATH3401 or MATH3403 or MATH3405 or PHYS2160 or PHYS3150); and
(PHYS3350 or PHYS3351 or PHYS3450 or PHYS3550)",Y,Y,2,May,---,"Prof H F Chau, Physics",,"Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof H F Chau,Physics)"
241,242,PHYS4351,Advanced quantum mechanics,6,Pass in (PHYS2155 or PHYS3150) and PHYS3351,Y,Y,2,May,---,"Dr C Xiao, Physics","Major in Mathematics/Physics (2017,2016,2015)","Major in Astronomy (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr C Xiao,Physics)"
242,243,PHYS4450,Advanced electromagnetism,6,Pass in (PHYS2155 or PHYS3150) and PHYS3450,Y,Y,1,Dec,---,"Prof X D Cui, Physics",,"Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof X D Cui,Physics)"
243,244,PHYS4551,Solid state physics,6,Pass in (PHYS2255 or PHYS2261) and PHYS3351,Y,Y,2,May,---,"Dr S Z Zhang, Physics",,"Major in Astronomy (2017,2016,2015)
Major in Mathematics/Physics (2017,2016,2015)
Major in Physics (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Physics (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Physics (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr S Z Zhang,Physics)"
