,Course Title,Course Description,Subject Domain,Course Code
436,Entrepreneurial Information Technology Design,"Introduces students to a range of rapid prototyping techniques and methods to analyze needs, opportunities and design spaces. Students will work in teams to develop ideas for novel computational devices or applications to meet identified needs. Covers the interlinked entrepreneurial skills of identifying an unmet need, exploiting technological opportunities, exploring a design space to refine an idea, and communicating a design vision through demonstrations with prototypes and proofs of concept. This enables developers to show how their envisaged working interactive technology will be used productively in a particular real-life context. Communicating the vision of computational devices is a challenge because dynamic use in context is hard for people other than the device's developers to imagine. The ability to produce convincing, clear, powerful demonstrations even at the early stages of a project is a highly valuable entrepreneurial skill, and also highly applicable within an organization. Directed and supervised investigation of selected topics in information studies that may include among others the social, political, and historical contexts of information creation and dissemination; computers and culture; information policy; community information systems; production, retrieval and evaluation of knowledge; computer-mediated communication. 3 undergraduate hours. 4 graduate hours. Prerequisite: Undergraduate students: Priority is given to students pursuing a transfer into the BS/IS degree (http://go.ischool.illinois.edu/BSIS).",Computer Science,IS419
437,Early Literacy,"Librarians fill a key role in the literacy development of young children with opportunities for interaction both in the library and through outreach programs. Key skills center on developing literacy-rich library environments, classroom instructional support, intentional embedding of essentials skills and practices within daily activities and lessons, resources about early literacy strategies to share with families and caregivers. Practitioners will understand the importance of integration of technology to meet the diverse developmental, cultural, social and linguistic needs of children to ensure they are able to create meaning from text. No undergraduate credit. 2 graduate hours.",Computer Science,IS423
438,Social Computing,"This interdisciplinary course introduces students to fundamental theories, methods, technologies and applications of social computing. Students learn about this emerging discipline from two perspectives: First, basic principles of collective information production and processing, and methods for studying these principles. Topics include prediction markets, games with a purpose, open source software development, social media, social networks, information visualization, and online games. Second, socio-technical aspects of the design and usage of respective technologies. This includes participation, privacy and security. Students learn how to solve problems in social computing in a systematic and rigorous fashion. At the end of the course, students will be able to design, manage and execute social computing projects for scholarly and commercial use, and to critically assess work in this area. 3 undergraduate hours. 4 graduate hours.",Computer Science,IS424
439,Web Content Strategy and Management,"Focuses on the basics of web site design, content development, constructing web pages with standard HTML and CSS. We will also cover usability and accessibility, content management system options, multi-media and interactivity in the context of standard HTML and CSS, procedures and policies for organizations, with a concentration on public, academic and special libraries. Students will investigate, design, and draft a representative site. Students may work with non-profit and library clients in constructing and redesigning their web sites or design and construct their own personal professional pages. In this course we will learn how to design and deploy flexible websites that serve dynamically changing content, focusing in particular on the needs of public-service organizations such as libraries, associations, and other not-for-profit entities. 4 undergraduate hours. 4 graduate hours. Prerequisite: Laptop Required.",Computer Science,IS429
440,Foundations of Information Processing,"Covers common data, document processing, and programming constructs and concepts. Focuses on problem solving and abstraction with a programming language. By the end of the course students will be able to design, develop and test a moderately complex computer program to manage full text, bibliographic records or multimedia. The course prepares students for working with applications in data analytics, data science, digital libraries, text mining and knowledge management. No prior programming background is assumed. 4 undergraduate hours. 2 or 4 graduate hours.",Computer Science,IS430
441,Web Development Using Application Framework,"A course in the use and evaluation of Web application frameworks for system architects, designers, and developers. Experience in creating static Web sites using HTML and CSS. 3 undergraduate hours. 4 graduate hours. Prerequisite: Experience in Python programming (IS 430 or equivalent). Experience in creating static Web sites using HTML and CSS. Experience in creating dynamic Web sites using tools like PHP is helpful but not required. Experience in using relational databases is helpful but not required.",Computer Science,IS439
442,Community Informatics Studio,"Studio-based learning methods, which are common in art and architectural education, are used to help students address a real-world problem or 'case'. Working in teams and mentored by the instructor and experts, students will learn how to 'be a professional' in an environment in which process is as important as project. During the term, students will participate in a cyclical process of design creation, presentation and critique culminating in a final presentation during the final day(s) of class of the finished proposal/design of how to address the case. Assumes experience in community engagement within a social justice framework. 3 undergraduate hours. 4 graduate hours.",Computer Science,IS440
443,Data Visualization,"Data visualization is crucial to conveying information drawn from models, observations or investigations. This course will provide an overview of historical and modern techniques for visualizing data, drawing on quantitative, statistical, and network-focused datasets. Topics will include construction of communicative visualizations, the modern software ecosystem of visualization, and techniques for aggregation and interpretation of data through visualization. Particular attention will be paid to the Python ecosystem and multi-dimensional quantitative datasets. 3 undergraduate hours. 4 graduate hours.",Computer Science,IS445
444,Information Books and Resources for Youth,"Evaluation, selection and use of information books and other resources for young people (ages 0-18) in public libraries and school media centers; explores standard selection criteria for factual print and nonprint materials in all formats and develops the ability to evaluate and promote nonfiction books and resources according to their various uses (personal and curricular) and according to young people's various needs (intellectual, emotional, social and physical). 3 undergraduate hours. 2 or 4 graduate hours.",Computer Science,IS453
445,Database Design and Prototyping,"The course provides students with both theoretical and practical training in good database design. By the end of the course students will create a conceptual data model using entity-relationship diagrams, understand the importance of referential integrity and how to enforce data integrity constraints when creating a database. Students will be proficient in writing basic queries in the structured query language (SQL) and have a general understanding of relational database theory including normalization. 4 undergraduate hours. 4 graduate hours. Prerequisite: Junior Standing required.",Computer Science,IS455
446,Data Storytelling,"An introduction to understanding data as a source for storytelling and to telling stories based on data. This process will include understanding and analyzing data sets to find informative aspects, changes, or contrasts that will provide the basic information for developing stories. Course participants will learn storytelling concepts, narrative theories, and performance techniques and develop stories in a collaborative workshop style. Students will work with data visualization toolkits, which will involve variable levels of coding and skill. By using storytelling techniques with data, students can develop, and tell well-evidenced stories, organizations can make better data-driven decisions. 3 undergraduate hours. 4 graduate hours.",Computer Science,IS457
447,"Russian, East European, and Eurasian Bibliography &amp; Research Methods","With a focus on Russia, Eastern Europe, and Eurasia, students will investigate this fascinating part of the world, how it has been studied and represented by generations of scholars, scientists, writers, artists, government officials, and others, and how the many fruits of their labors are (or are not) accessible to us today. 3 undergraduate hours. 4 graduate hours.",Computer Science,IS461
448,Ethics and Policy for Data Science,"The course will address common ethical challenges related to data including privacy, bias, and data access. These challenges will be explored through real-world cases of corporate settings, non-profits, governments, academic research, and healthcare. The course emphasizes the complexity of ethical decision-making and that trade-offs between priorities are often necessary. The course also considers how the burdens of addressing ethical concerns should be distributed among stakeholders. Students will be introduced to a range of relevant policy responses at the organizational, institutional, governmental,and supranational levels. 3 undergraduate hours. 4 graduate hours.",Computer Science,IS467
449,Instructional Strategies and Techniques for Information Professionals,"Provides an introduction to learning theories and instructional methods used in a variety of information settings, including libraries, archives, museums, online, and educational environments. Includes an overview of theoretical and applied research and discusses relevant issues and concepts. Students will have an opportunity to design and present an instructional program. 3 undergraduate hours. 2 or 4 graduate hours.",Computer Science,IS471
450,"Data Management, Curation &amp; Reproducibility","This course addresses issues in Data Management, Curation & Reproducibility from a Data Science perspective. We discuss definitions of data science, and then introduce and use the Data Science Life Cycle as an intellectual foundation. Topics include Research Artifact Identification and Management, Metadata, Repositories, Economics of Artifact Preservation and Sustainability, and Data Management Plans. We use the case study to ground our discussions in both data sets and in specific data science research. This course requires a final project that applies course knowledge to a data science experiment and creates a data management plan for that experiment. 3 undergraduate hours. 4 graduate hours. Prerequisite: STAT 107/CS 107/IS 107; STAT 207/CS 207/IS 207; CS 227/STAT 227.",Computer Science,IS477
451,Topics in Info Foundations,"Directed and supervised investigation of selected topics in information studies that may include among others the social, political, and historical contexts of information creation and dissemination; computers and culture; information policy; community information systems; production, retrieval and evaluation of knowledge; computer-mediated communication. Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. Approved for Letter and S/U grading. May be repeated. Prerequisite: For undergraduates, junior standing and IS 202, or consent of instructor.",Computer Science,IS490
452,Topics in Information Services,"Variety of newly developed and current topics courses within the field of information services, intended to augment the existing Information Sciences curricula. 3 undergraduate hours. 2 to 4 graduate hours. May be repeated if topics vary.",Computer Science,IS491
453,Topics in Human-Centered Design &amp; Systems,"Variety of newly developed and current topics courses within the field of human-centered design and systems, intended to augment the existing Information Sciences curricula. 3 undergraduate hours. 2 to 4 graduate hours. May be repeated if topics vary.",Computer Science,IS496
454,Topics in Data Analytics &amp; Data Science,"Variety of newly developed and topics courses within Data Analytics & Data Science, intended to augment the existing Information Sciences curricula. Additional fees may apply. See Class Schedule. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated if topics vary.",Computer Science,IS497
455,Reference and Information Services,"Explores reference and information services in a variety of settings, introduces widely used print and online sources, and develops question negotiation skills and search strategies. 4 graduate hours. No professional credit.",Computer Science,IS501
456,Sociotechnical Information Systems,"The character, success, and costs/benefits of information technologies are socio-technical matters. Because of this, best practice for IT design and integration relies on participants' ability to understand and create for the totality of those settings, including social and technical dimensions. This course provides students with analytic tools for examining socio-technical settings and experience in applying that knowledge in IT modeling, design and management. 4 graduate hours. No professional credit.",Computer Science,IS504
457,Information Organization and Access,"Emphasizes information organization and access in settings and systems of different kinds. Traces the information transfer process from the generation of knowledge through its storage and use in both print and non-print formats. Consideration will be given to the creation of information systems: the principles and practice of selection and preservation, methods of organizing information for retrieval and display, the operation of organizations that provide information services, and the information service needs of various user communities. 4 graduate hours. No professional credit.",Computer Science,IS505
458,"Data, Statistical Models and Information","An introduction to statistical and probabilistic models as they pertain to quantifying information, assessing information quality, and principled application of information to decision making, with focus on model selection and gauging model quality. The course reviews relevant results from probability theory, parametric and non-parametric predictive models, as well as extensions of these models for unsupervised learning. Applications of statistical and probabilistic models to tasks in information management (e.g. prediction, ranking, and data reduction) are emphasized. 4 graduate hours. No professional credit. Prerequisite: Graduate standing.",Computer Science,IS507
459,History and Foundations of Information Science,"Provides an introduction to the historical foundations of IS. Examinations of the interactions of socio-cultural, technological and professional factors underlying the emergence of IS provide a basis for exploring more recent developments in theory and practice. Required IS Ph.D. course. 4 graduate hours. No professional credit.",Computer Science,IS509
460,"Libraries, Information and Society","Explores major issues in the library and information science professions as they involve their communities of users and sponsors. Analyzes specific situations that reflect the professional agenda of these fields, including intellectual freedom, community service, professional ethics, social responsibilities, intellectual property, literacy, historical and international models, the socio-cultural role of libraries and information agencies and professionalism in general, focusing in particular on the interrelationships among these issues. 4 graduate hours. No professional credit. Prerequisite: Required M.S. in library and information science degree core course.",Computer Science,IS510
461,Scholarly Communications,"A basic level of scholarly communication literacy and sophistication is an increasing requirement of academic librarians, both to inform their work and to make those librarians effective partners in the scholarly enterprise. This course is designed to cultivate and develop that literacy. It will address topics such as: the established modes of scholarly communication and the emergence of alternatives influenced by the growth of social media and other forms of networked communication; the divide between formal and informal modes of scholarly communication and the current state of flux as that divide begins to collapse; the varying economies of scholarship (the reputation and prestige economy, the financial economy both in the market and in the mission-driven research academy, and the economic impact of scholarly communication decisions upon library budgets); modes of credentialing scholarship and their impact upon professional advancement, with special attention to peer review and its (current?) discontents; scholarship as intellectual property and the most effective ways to manage that property and achieve scholarly goals; and issues in access and preservation as they relate to ensuring the future of the scholarly conversation. 2 or 4 graduate hours. No professional credit.",Computer Science,IS511
462,Applied Business Research,"As an experiential learning class, this course covers advanced techniques of business research with an emphasis on managing real-world client projects. Students will be assigned to teams and work with clients to identify research requirements and construct recommendations. Students will acquire critical skills in creating professional deliverables through client engagements. Students will build professional research portfolios at the conclusion of their projects. 4 graduate hours. No professional credit. May be repeated in separate terms up to 8 hours if topics vary. Prerequisite: Instructor approval required.",Computer Science,IS514
463,Information Modeling,"Information modeling is critical to all information systems and analysis. This course introduces students to foundational frameworks (set theory and logics) and basic underlying objects (entities, attributes, and relations) of information modeling. A variety of modeling approaches (use case modeling, relational database design, first-order predicate logic, and semantic web technologies) are considered, and recent developments (non-relational databases and knowledge graphs) are reviewed. Modeling strategies are assessed by their expressiveness and reasoning capabilities. 4 graduate hours. No professional credit.",Computer Science,IS515
464,Methods of Data Science,"A dramatic increase in computing power has enabled new areas of data science to develop in statistical modeling and analysis. These areas cover predictive and descriptive learning and bridge between ideas and theory in statistics, computer science, and artificial intelligence. We will cover methods including predictive learning: estimating models from data to predict future outcomes. Regression topics include linear regression with recent advances using large numbers of variables, smoothing techniques, additive models, and local regression. Classification topics include linear regression, regularization, logistic regression, discriminant analysis, splines, support vector machines, generalized additive models, naive Bayes, mixture models and nearest neighbor methods as time permits. Lastly we develop neural networks and deep learning techniques, bridging the theory introduced in the earlier parts of the class to purely empirical methods. We situate the course components in the ""data science lifecycle"" as part of the larger set of practices in the discovery and communication of scientific findings. 4 graduate hours. No professional credit. Prerequisite: IS 507 or equivalent (e.g. intro probability/stats STAT 100, CS 361, or ECON 202); and IS 490 IDS/CS 398 ID/STAT 490 or CS101 or equivalent; or consent of the instructor. Linear Algebra recommended at the level of MATH 125; Calculus recommended at the level of MATH 220.",Computer Science,IS517
465,Preserving Info Resources,"Covers the broad range of library preservation and conservation for book and nonbook materials relating these efforts to the total library environment; emphasizes how the preservation of collections affects collection management and development, technical services, access to materials and service to users. 4 graduate hours. No professional credit.",Computer Science,IS523
466,Data Governance,"The course will address issues of data governance, including data ethics, and design and implementation of policy responses and best practices. Topics include privacy, discrimination, data sharing, data quality, and building a diverse workforce. These topics will be explored through real-world cases in corporate settings, libraries, non-profits, healthcare, governments, and academe. The course will also cover principles and frameworks for analyzing and responding to issues. The course is suitable for anyone planning to work in a professional setting that will involve handling data or building information systems, or seeking a grounding for future study of data and information ethics. 2 or 4 graduate hours. No professional credit.",Computer Science,IS524
467,Data Warehousing and Business Intelligence,"This course examines the construction of a data warehouse and business intelligence system. It will review the roles and requirements of building the system, including data modelling and business intelligence product design. This course will explore real-world case studies of data warehouse and business intelligence projects through hands-on experience with data modelling, Business Objects, Power BI and Tableau. The course culminates with a final project to design a solution for a business case. 4 graduate hours. No professional credit.",Computer Science,IS525
468,Doctoral ProSeminar,"A core course for all first year Information Science PhD students. The seminar serves as a venue for the development of a variety of skills and capacities to succeed as a scholar. Throughout the term, students will engage in a series of tasks designed as an initiation to the academic profession. The seminar offers a mix of sessions on progression through the Ph.D. degree program, the research process, guidance on the academic profession, and written and oral presentation of scholarly research. While students will receive feedback from the instructor, this is a seminar, meaning that active student participation and peer feedback is crucial. 1 graduate hour. No professional credit. Approved for S/U grading only. May be repeated in separate semesters to a maximum of 4 hours. Prerequisite: PhD Students in Information Sciences.",Computer Science,IS529
469,Collection Development,"Examines issues affecting the development and management of collections for academic, public, special, and school libraries: collection development policies, collection assessment, the marketplace, publishing, legal issues, and budget allocation; document delivery; collaboration and cooperation. 4 graduate hours. No professional credit. Prerequisite: IS 505 - Information, Organization and Access (formerly IS 501 prior to FA 20), or concurrent enrollment in IS 505 and IS 530.",Computer Science,IS530
470,School Library Management,"School Library Information Specialists serve children and young adults (ages 5-18) in K-12 school library media centers. Students will acquire specific knowledge, skills and competencies needed to design, develop, integrate and assess curriculum and instruction with an emphasis on the information needs of K-12 students. Readings and projects provide students with opportunities to apply the practical knowledge and skills they have learned about building reading literacy, teaching information literacy skills, collaborating with teachers and integrating resources into teaching and learning. 2 or 4 graduate hours. No professional credit.",Computer Science,IS532
471,Information Consulting,"This course is designed to provide fundamental knowledge in providing research services and also introduce the latest trends and innovative approaches in research services. Information professionals are increasingly being challenged to provide not just data but insights and recommendations that are critical for strategic decision making. Using methodologies widely adopted by professional firms and researchers, this course will cover basics of research consulting including framing research problems, developing deliverables, and presenting professionally. 4 graduate hours. No professional credit.",Computer Science,IS534
472,Theory &amp; Practice of Data Cleaning,"Data cleaning (also: cleansing) is the process of assessing and improving data quality for later analysis and use, and is a crucial part of data curation and analysis. This course identifies data quality issues throughout the data lifecycle, and reviews specific techniques and approaches for checking and improving data quality. Techniques are drawn primarily from the database community, using schema-level and instance-level information, and from different scientific communities, which are developing practical tools for data pre-processing and cleaning. Same as CS 513. 4 graduate hours. No professional credit.",Computer Science,IS537
473,Social Justice in the Information Professions,"Intended to provide a historic and contemporary overview of social justice and advocacy work in librarianship. The course will be primarily focused on activities in the United States, though international movements and perspectives will be addressed. Topics include: desegregation of libraries and professional associations; recruitment and retention of library workers from traditionally underrepresented populations; library outreach; intellectual freedom; and emerging critical theories and issues in the field. 2 or 4 graduate hours. No professional credit. Prerequisite: Graduate student.",Computer Science,IS540
474,Copyright for Information Professions,"Copyright is a complicated legal concept that affects all information institutions, including corporations, libraries, archives, and museums whether they are online or off. This course will explore copyright from both a legal and information management perspective to demystify the concept and provide practical tools for working with copyrighted material. Topics discussed include the Constitutional underpinnings of copyright, copyright basics, copyright exceptions, fair use, the open access movement, licensing, data and copyright, and educational issues relating to copyright including issues related to K-12 teaching. This course is designed for students with a variety of backgrounds and interests. 2 or 4 graduate hours. No professional credit.",Computer Science,IS541
475,Research and Inquiry for Youth,"This course is designed to prepare school librarians to serve as instructional leaders in their learning communities, positioned to transform teaching and learning in order to ensure students are college, career, and community ready. Participants will develop strategies and practices to support the school's curriculum through the roles of instructional partner, information specialist, and teacher. The school librarian has a leadership role in designing authentic learning activities in research and guided inquiry to prepare students in both the process and attitudes necessary to identify and meet their own lifelong information needs. 4 graduate hours. No professional credit.",Computer Science,IS542
476,Digital Preservation,"Examines current problems with and approaches to digital preservation that are fundamental to the long-term accessibility of digital materials. Examines the range of current research problems, along with emerging methods and tools, and assesses a variety of organizational scenarios to plan and implement a preservation plan. Topics include basic information theory, preservation of complex digital objects; standards and specifications; sustainability and risk assessment; authenticity, integrity, quality control, and certification; and management of preservation activities. 4 graduate hours. No professional credit.",Computer Science,IS543
477,Administration &amp; Management of Libraries and Information Centers,"Designed to explore the principles that govern how organizations and institutions work, this course provides a foundation for and introduction to the theories, practices and procedures involved in the management and administration of libraries and information centers. 4 graduate hours. No professional credit.",Computer Science,IS544
478,Advanced Data Visualization,"This seminar-style course will cover advanced topics in visualization techniques. This will cover topics such as the history of visualization techniques, the perception and understanding of visual information, and new frontiers in displaying quantitative information. We will explore the modern technical stack for creating and sharing visualizations, including topics in javascript, python, and reactive frameworks. 4 graduate hours. No professional credit.",Computer Science,IS545
479,Practicum,Supervised field experience of professional-level duties in an approved library or information center. 2 graduate hours. No professional credit. Approved for S/U grading only. A maximum of 2 hours may be applied toward a degree program. Prerequisite: Completion of 12 graduate hours of information sciences courses; submission of Practicum forms.,Computer Science,IS549
480,Youth Services Librarianship,"Theory and techniques in planning, implementing and evaluating library programs/services for youth (age 0-18) in public and school libraries/media centers; the knowledge base, skills, and competencies needed by the library media professional in the development of all aspects of young people's reading/viewing/listening and information literacy skills. 4 graduate hours. No professional credit.",Computer Science,IS551
481,CAS Project,"Individual study of a problem in library and information science; forms the culmination of the Certificate of Advanced Study program. 0 to 8 graduate hours. No professional credit. Approved for S/U grading only. May be repeated. Only eight hours will apply to the Certificate of Advanced Study. Prerequisite: Admission to Certificate of Advanced Study program in library and information science; submission of ""Request to Enroll in IS 559 - CAS Project"" form.",Computer Science,IS559
482,Social Science Research in Library and Information Science,"Introduces students to the fundamentals of doing social science research in LIS. Students will learn how to frame a research problem, choose an appropriate research method, apply it, and write up the research for presentation and publication. 4 graduate hours. No professional credit.",Computer Science,IS560
483,Administration and Use of Archival Materials,"Administration of archives and manuscript collections in various types of institutions. Theoretical principles and archival practices of appraisal, acquisition, accessioning, arrangement, description, preservation, and reference services. Topics will include: records management programs, collecting archives programs/special collections, legal and ethical issues, public programming and advocacy, and the impact of new information technologies for preservation and access. Lectures, discussion, internet demonstration, and field trips to the Special Collections Department and University Archives. 4 graduate hours. No professional credit.",Computer Science,IS562
484,"Advanced Topics in Literature, Media and Materials","Variety of newly developed and advanced topics courses within Literature, Media and Materials, intended to augment the existing Information Sciences curricula. 2 or 4 graduate hours. No professional credit. May be repeated in the same or separate terms, to a maximum of 16 hours, if topics vary.",Computer Science,IS563
485,Cataloging for School Libraries,"This course will introduce the student to the principles, practices and standards for information representation and organization in school media centers. Course content will include an introduction to original cataloging of non-standard materials (such as realia and audiovisual materials), evaluation of bibliographic records, exposure to authority control and subject access systems with a special focus on the Dewey Decimal System and Sears Subject Headings. The course will also provide an overview and exploration of different library systems/OPACS. 2 graduate hours. No professional credit.",Computer Science,IS565
486,Text Mining,"The goal of this project-based course is to provide students with first-hand experience with how to create a well-formed text mining problem and how to select, transform, and mine a collection of text. Prior programming knowledge (in any language) is required. As students work on their own project, they will draw from key concepts in text mining using perspectives from both the knowledge discovery and natural language processing research communities. 4 graduate hours. No professional credit.",Computer Science,IS567
487,Seminar in Human-Centered Design &amp; Systems,"Offers an advanced graduate survey of research in areas related to research in human-centered design and systems, across a wide range of topics. Designed to incorporate multiple guest lectures. Weekly class meetings will be composed of both lectures and discussions. 4 graduate hours. No professional credit. May be repeated in the same or separate terms, to a maximum of 16 hours, if topics vary.",Computer Science,IS568
488,Internship,Supervised field experience designed for learning professional-level duties in an approved information-related organization or institution. 0 graduate hours. No professional credit. Approved for S/U grading only. May be repeated in separate terms.,Computer Science,IS569
489,Advanced Topics in Use and Users of Information,"Variety of newly developed and advanced topics courses within the field of Use and Users of Information, intended to augment the existing Information Sciences curricula. 2 or 4 graduate hours. No professional credit. May be repeated in the same or separate terms, to a maximum of 16 hours, if topics vary.",Computer Science,IS571
490,Advanced Topics in Collections,"Variety of newly developed and advanced topics courses within the field of Collections, intended to augment the existing Information Sciences curricula. Additional fees may apply. See Class Schedule. 2 or 4 graduate hours. No professional credit. May be repeated in the same or separate terms, to a maximum of 16 hours, if topics vary.",Computer Science,IS573
491,Metadata in Theory &amp; Practice,"Combines theoretical examination of the design of metadata schema with their practical application in a variety of settings. Hands-on experience in the creation of descriptive, administrative, and structural metadata, along with their application in systems such as OAI harvesting, OpenURL resolution systems, metasearch systems and digital repositories, will help students develop a thorough understanding of current metadata standards as well as such issues as crosswalking, metadata schema, metadata's use in information retrieval and data management applications, and the role of standards bodies in metadata schema development. 4 graduate hours. No professional credit. Prerequisite: IS 505 - Information, Organization and Access (formerly IS 501 prior to FA 20) or consent of the instructor.",Computer Science,IS575
492,Data Mining,"Data mining refers to the process of exploring large datasets with the goal of uncovering interesting patterns. This process usually involves a number of tasks such as data collection, pre-processing, & characterization; model fitting, selection, & evaluation; classification, clustering, & prediction. Although data mining has its roots in database management, it has grown into a discipline that focuses on algorithm design (to ensure computational feasibility) & statistical modeling (to separate the signal from the noise). It draws heavily upon a variety of other disciplines including statistics, machine learning, operations research, & information retrieval. Will cover the major data mining concepts, principles, & techniques that every information scientist should know about. Lectures will introduce & discuss the major approaches to data mining; computer lab sessions coupled w/assignments will provide hands-on experience with these approaches; term projects offer the opportunity to use data mining in a novel way. Mathematical detail will be left to the students who are so inclined. 2 or 4 graduate hours. No professional credit.",Computer Science,IS577
493,Seminar in Research Methods,"Offers an advanced graduate survey of research in areas related to research in research methods, across a wide range of topics. Designed to incorporate multiple guest lectures. 4 graduate hours. No professional credit. May be repeated in the same or separate terms, to a maximum of 16 hours, if topics vary.",Computer Science,IS578
494,Information History,"Drawing on research in varied historical specializations, information history has become a vibrant area of study, one that improves our understanding, moreover, of today's information universe. Information history covers diverse institutions and practices -- from libraries and the book to the telegraph and postal systems, from surveillance to cartography, from documentary culture to statistical surveys -- seeking to connect them with the major developmental processes of human history. Framed in a succession of major historical epochs, topics and trends, from Antiquity to the twentieth century, this course revises our sense of the historical record by situating information explicitly within it. 4 graduate hours. No professional credit.",Computer Science,IS580
495,Advanced Topics in Youth Services,"Variety of newly developed and advanced topics courses within the field of Youth Services, intended to augment the existing Information Sciences curricula. 2 OR 4 graduate hours. No professional credit. May be repeated in the same or separate semesters to a maximum of 16 hours, if topics vary.",Computer Science,IS581
496,Advanced Topics in Librarianship,"Variety of newly developed and advanced topics courses within the field of Librarianship, intended to augment the existing Information Sciences curricula. Additional fees may apply. See Class Schedule. 2 or 4 graduate hours. No professional credit. May be repeated in the same or separate semesters to a maximum of 16 hours, if topics vary.",Computer Science,IS582
497,Advanced Topics in Book History,"Variety of newly developed and advanced topics courses within the field of Book History, intended to augment the existing Information Sciences curricula. Additional fees may apply. See Class Schedule. 2 or 4 graduate hours. No professional credit. May be repeated in the same or separate semesters to a maximum of 16 hours, if topics vary.",Computer Science,IS583
498,Bibliographic Metadata,"Introduction to basic principles and concepts of descriptive and subject cataloging in the context of information service needs for various user communities. Explores principles, structures, standards, technologies and practices relating to organizing and creating access to print and non-print media. Includes coverage of subject analysis and descriptive practices. Introduces controlled vocabularies. 4 graduate hours. No professional credit. Prerequisite: Information Organization and Access; IS 505 for Fall 2020 (previously IS 501).",Computer Science,IS585
499,Independent Study,"Permits the intermediate or advanced student opportunity to undertake the study of a topic not otherwise offered in the curriculum or to pursue a topic beyond or in greater depth than is possible within the context of a regular course. 2 to 4 graduate hours. No professional credit. May be repeated by MS students to a maximum of 4 graduate hours. May be repeated by CAS students to a maximum of 8 graduate hours. May be repeated by PhD students to a maximum of 16 graduate hours. Prerequisite: Submission of ""Request to Enroll in IS 592"" form.",Computer Science,IS589
500,Advanced Topics in Information Services,"Variety of newly developed and advanced topics courses within the fields of Information Services, intended to augment the existing Information Sciences curricula. 1 to 4 graduate hours. No professional credit. May be repeated in the same or separate semesters to a maximum of 16 hours, if topics vary.",Computer Science,IS591
501,Advanced Topics In Information Organizations,"Variety of newly developed and advanced topics courses within the fields of Information Organization, intended to augment the existing Information Sciences curricula. 2 or 4 graduate hours. No professional credit. May be repeated in the same or separate semesters to a maximum of 16 hours, if topics vary.",Computer Science,IS592
502,Advanced Topics in Preservation &amp; Tech Services,"Variety of newly developed and advanced topics courses within the fields of Preservation & Tech Services, intended to augment the existing Information Sciences curricula. 2 or 4 graduate hours. No professional credit. May be repeated in the same or separate semesters to a maximum of 16 hours, if topics vary.",Computer Science,IS593
503,Advanced Topics in Management and Policy,"Variety of newly developed and advanced topics courses within the fields of Management and Policy, intended to augment the existing Information Sciences curricula. 2 or 4 graduate hours. No professional credit. May be repeated in the same or separate semesters to a maximum of 16 hours, if topics vary.",Computer Science,IS594
504,Advanced Topics in Organization &amp; Representation,"Variety of newly developed and advanced topics courses within the fields of Organization & Representation, intended to augment the existing Information Sciences curricula. 2 or 4 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated in the same or separate semesters to a maximum of 16 hours, if topics vary.",Computer Science,IS595
505,Advanced Topics in Data Analytics &amp; Data Science,"Variety of newly developed and advanced topics courses within the fields of Data Analytics & Data Science, intended to augment the existing Information Sciences curricula. 2 or 4 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated in the same or separate semesters to a maximum of 16 hours, if topics vary.",Computer Science,IS597
506,Thesis Research,"Individual study and research. 0 to 16 graduate hours. No professional credit. Approved for S/U grading only. May be repeated. M.S. candidates, 0 to 8 hours. Doctoral candidates, 0 to 16 hours. Prerequisite: MS students must submit a ""Request to Enroll in IS 599 - Master's Thesis"" form.",Computer Science,IS599
507,Theory of Arithmetic,"Analyses of the mathematical issues and methodology underlying elementary mathematics in grades K-5. Topics include sets, arithmetic algorithms, elementary number theory, rational and irrational numbers, measurement, and probability. There is an emphasis on problem solving. Priority registration will be given to students enrolled in teacher education programs leading to certification in elementary or childhood education. Prerequisite: MATH 112 (formerly MATH 012) or equivalent.",Mathematics,MATH103
508,Algebra,"Rapid review of basic techniques of factoring, rational expressions, equations and inequalities; functions and graphs; exponential and logarithm functions; systems of equations; matrices and determinants; polynomials; and the binomial theorem. Prerequisite: An adequate ALEKS placement score as described at http://math.illinois.edu/ALEKS/, demonstrating knowledge of 1.5 units of high school algebra and 1 unit of high school geometry.",Mathematics,MATH112
509,Preparation for Calculus,"Reviews trigonometric, rational, exponential, and logarithmic functions; provides a full treatment of limits, definition of derivative, and an introduction to finding area under a curve. Intended for students who need preparation for MATH 220, either because they lack the content background or because they are not prepared for the rigor of a university calculus course. Credit is not given for both MATH 115 and either MATH 014 or MATH 114. Credit is not given for MATH 115 if credit for either MATH 220 or MATH 221 has been earned. Prerequisite: An adequate ALEKS placement score as described at http://math.illinois.edu/ALEKS/, demonstrating knowledge of the topics of MATH 112.",Mathematics,MATH115
